issue_type,severity,element,element_index,ifc_type,ontology_class,brick_class,message,architectural_element,architectural_index,architectural_ifc_type,edge_index,predicate
terminal_not_located_in_space,medium,844,14202,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,845,14203,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,846,14204,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,847,14205,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,848,14206,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,849,14207,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,850,14208,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,851,14209,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,852,14210,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,853,14211,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,854,14212,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,855,14213,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,856,14214,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,857,14215,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,858,14216,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,859,14217,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
